"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"NGA",27,2011,3174.37326648492447589,940275.628583357526067
"NGA",28,2011,3472.23688057234740901,1610785.804073948839984
"NGA",29,2011,3410.38602947456416333,1560385.875094290774608
"NGA",30,2011,863.77183316243966583,388759.674388677052056
"NGA",31,2011,1313.91076872995308536,540165.725058333627018
"NGA",32,2011,2.43065266261664491,1001.176725253506932
"NGA",33,2011,453.05768974696733334,233296.977484214882556
"NGA",34,2011,0.15037845008192276,46.791350909132245
"NGA",35,2011,15228.82800578189974959,4665152.322474470648080
"NGA",36,2011,2.26485026812554317,899.52764479233017
"NGA",1,2012,470.81342276484953006,290521.333904425222267
"NGA",2,2012,24.89965520054470661,8942.151285357004989
"NGA",3,2012,126.00623450475695021,71485.737056747235419
"NGA",4,2012,45.06136839902832495,24689.742507710584294
"NGA",5,2012,0.15172722210720488,2771.478613535857097
"NGA",6,2012,665.84842879132370624,356681.761131100889192
"NGA",7,2012,42.83844446461127608,16515.225612117594965
"NGA",8,2012,3.97665176376573408,5014.889544381780224
"NGA",9,2012,1649.32747110880993224,848684.064660417767084
"NGA",10,2012,2691.90326253939401931,1615682.856249009077316
"NGA",11,2012,67.12792063342094160,39710.281861857487446
"NGA",12,2012,7875.67443543646880624,4077398.289529730637929
"NGA",13,2012,740.11263568878933128,372302.237472468519476
"NGA",14,2012,122.71501576969589101,60100.656584132873966
"NGA",15,2012,24.42229669001194382,7948.614086593155243
"NGA",16,2012,0.0,14.777295756317242
"NGA",17,2012,409.14572660041753297,231432.254613739252103
"NGA",19,2012,40.92741392600315175,13182.991898250990027
"NGA",21,2012,0.1502217820952691,35.80865860620641
"NGA",22,2012,2.71898409620930983,883.576529686640574
"NGA",23,2012,808.36943686464073416,363354.877489423815849
"NGA",24,2012,1948.55218131088133497,656278.417011461709813
"NGA",25,2012,628.11783180756511241,338690.183293156387602
"NGA",26,2012,90.14854761917473226,27495.29256538437919
"NGA",27,2012,1245.98831603175451856,361135.380942421661845
"NGA",28,2012,5751.65805327025019215,2739110.256074452096913
"NGA",29,2012,3349.71947838856819977,1537666.514717146052389
"NGA",30,2012,1375.59791328151591862,636483.999289450446106
"NGA",31,2012,3208.68904340665935469,1413448.492027255805684
"NGA",32,2012,28.01767189663845672,9675.031229759756096
"NGA",33,2012,567.63804489168578789,308345.916639935493257
"NGA",34,2012,0.0,18.716886898054396
"NGA",35,2012,959.86164755404818223,313712.402134800223442
"NGA",36,2012,1.28351521138509127,526.11327591144641
"NGA",37,2012,3.45654472462456641,1180.709953802068661
"NGA",1,2013,1123.79578983273520522,760244.845503381990720
"NGA",2,2013,43.65437804697727567,17499.916195003482469
"NGA",3,2013,241.02951083665955216,183735.332531645338354
"NGA",4,2013,59.67365332303845582,36251.390845022254980
"NGA",5,2013,0.07587232620551217,1286.33750030546453
"NGA",6,2013,1384.89130333199252269,749226.682703887465494
"NGA",7,2013,27.58494196273328928,11229.215756351699054
"NGA",8,2013,0.0,2019.9284317025682981
"NGA",9,2013,4652.90278623509340285,2499962.033112828418183
"NGA",10,2013,2370.48812211421056334,1307508.918879215034240
"NGA",11,2013,232.72004126154076400,143647.707827240203104
"NGA",12,2013,13810.54741265978722492,7475159.959281732654133
"NGA",13,2013,1259.70174131251233532,653198.85511648718070
"NGA",14,2013,256.93937951554191129,133031.815887820085650
"NGA",15,2013,130.86599132194300360,42385.28726277853419
"NGA",16,2013,0.0,78.863256254777319
"NGA",17,2013,670.92231582782025052,488899.710781790866694
"NGA",18,2013,0.0,5.282492321745851
"NGA",19,2013,2.80995536364149315,3581.665731737723622
"NGA",22,2013,0.0,356.866361746610517
"NGA",23,2013,751.38966502301577167,319077.109992847372776
"NGA",24,2013,211.99399149090980657,116522.315342261961619
"NGA",25,2013,378.70091150369188617,232214.281791366998077
"NGA",26,2013,178.75151380383137373,60683.776315405980869
"NGA",27,2013,68.45793375626736246,30348.984646366863309
"NGA",28,2013,2936.66854374524079315,1478104.789197350337617
"NGA",29,2013,4928.35740116351222739,2471577.050306729654852
"NGA",30,2013,2273.92399516409831299,1187623.14262880643542
"NGA",31,2013,1510.55179780860176392,704167.178272371775757
"NGA",32,2013,8.50662716624565871,4735.956015320261926
"NGA",33,2013,925.81556145543039294,542096.696424409532121
"NGA",34,2013,0.0,198.946141897766140
"NGA",35,2013,2993.10076241209244236,1004760.083046530995373
"NGA",36,2013,0.07549685463378907,33.41889651309833
"NGA",37,2013,0.0,280.07611717391358
"NGA",1,2014,1395.80038820987584259,1049433.893127464398453
"NGA",2,2014,19.20182704860731506,5948.063556149725397
"NGA",3,2014,452.75950356710020195,380307.970463005590781
"NGA",4,2014,67.70202259216447772,42777.556864221849470
"NGA",5,2014,0.1517646650607639,302.196754404046861
"NGA",6,2014,1794.86910926095552722,983105.835769881798687
"NGA",7,2014,130.78421458875869532,43826.570104345562926
"NGA",8,2014,0.0,1134.507203408574556
"NGA",9,2014,12908.78253121256800507,7068221.178165334051390
"NGA",10,2014,4005.69658271623621844,2237384.178779523537362
"NGA",11,2014,253.47450560780501186,161138.082634330715725
"NGA",12,2014,24412.45327815039355430,13887178.362139231887154
"NGA",13,2014,1414.52238906631292149,762992.73114438874547
"NGA",14,2014,202.98745902288119169,107421.035150542621092
"NGA",15,2014,126.50566545402117649,40518.295599565483745
"NGA",17,2014,1005.90213183017372828,720312.217866432804230
"NGA",19,2014,3.87356690902072467,6829.121453597129770
"NGA",20,2014,0.0,12.812604869653287
"NGA",22,2014,0.0,264.777643008830687
"NGA",23,2014,1411.31124621600348175,545508.097552362236659
"NGA",24,2014,1061.42491793704141919,407735.730837373646609
"NGA",25,2014,463.76602128919659564,339313.544850890579768
"NGA",26,2014,192.5219951301172237,57901.59426764459152
"NGA",27,2014,25.45511238150662281,18166.374890106612441
"NGA",28,2014,2016.07784094087432004,1094492.919561004661944
"NGA",29,2014,5870.35616021581029256,3078210.685778919496286
"NGA",30,2014,2282.40410699888381118,1218000.678707604805911
"NGA",31,2014,1361.61493191566413506,660760.584737297856208
"NGA",32,2014,4.78554405365342893,2383.29019327643735
"NGA",33,2014,2071.15772061269505261,1327915.363312985716582
"NGA",34,2014,0.0,158.123628638479589
"NGA",35,2014,3680.93226726543307717,1158600.482796202420725
"NGA",36,2014,0.0,202.85717974709127
"NGA",37,2014,0.0,213.535702466665434
